dataset,seed,shots,method,acc
ucf101,2,8,rn50_only,49.344539642333984
ucf101,2,8,rn101_only,56.40336275100708
ucf101,2,8,vit_b32_only,58.68907570838928
ucf101,2,8,vit_b16_only,64.1680657863617
ucf101,2,8,log_avg,64.60504531860352
ucf101,2,8,emrc_raw_logit_route_beta1.00,65.24369716644287
ucf101,2,8,nlc_original_train_aligned_beta0.00,65.8823549747467
ucf101,2,8,nlc_emrc_train_aligned_beta0.02,65.7815158367157
ucf101,2,8,nlc_emrc_train_aligned_beta0.05,65.81512689590454
ucf101,2,8,nlc_emrc_train_aligned_beta0.10,65.7815158367157
ucf101,2,8,nlc_emrc_train_aligned_beta0.20,65.3781533241272
ucf101,2,8,nlc_emrc_train_aligned_beta0.30,65.3781533241272
