shots,beta,mean_delta,median_delta,positive_datasets,negative_datasets,num_datasets
1,0.02,0.021654168764750636,0.04282395044962328,6,4,10
1,0.05,0.057929356892902815,0.035103162129715315,7,3,10
1,0.10,0.1286822557449348,0.013840198516845703,5,5,10
1,0.20,0.07553632060686902,-0.028786063194267797,5,5,10
1,0.30,0.030800998210906982,-0.13008813063303748,4,6,10
2,0.02,0.0254921615123763,0.03184676170349121,7,3,10
2,0.05,0.1383637885252657,0.0978618860244751,7,3,10
2,0.10,0.26511251926422086,0.06272494792938232,5,5,10
2,0.20,0.4314499596754743,-0.004600485165909163,5,5,10
2,0.30,0.5817967653274551,0.14775792757669848,6,4,10
4,0.02,0.0030060112476348877,0.03159393866856597,7,3,10
4,0.05,0.06749932964642973,0.016139944394431893,5,5,10
4,0.10,0.1964349051316571,0.016253193219505135,6,4,10
4,0.20,0.366850694020588,0.010497371355690177,5,5,10
4,0.30,0.48216015100479304,0.03799001375834621,6,4,10
8,0.02,0.01391152540842704,0.0407775243123325,6,4,10
8,0.05,0.053888509670892405,0.0016937653223649818,5,4,10
8,0.10,0.16716281572977715,-0.04388391971588135,4,6,10
8,0.20,0.3036590417226158,0.027455886205039803,5,5,10
8,0.30,0.4698011775811494,0.09011824925740086,5,4,10
