shots,method,mean_acc,std_acc,n,delta_vs_nlc
1,emrc_raw_logit_route_beta1.00,60.94350263476372,24.248733086952136,30,-0.18991296490033704
1,log_avg,60.12292444705963,24.415516349439436,30,-1.0104911526044233
1,nlc_emrc_train_aligned_beta0.02,61.1550697684288,23.732031493071844,30,0.021654168764747794
1,nlc_emrc_train_aligned_beta0.05,61.191344956556954,23.68901737960912,30,0.05792935689289891
1,nlc_emrc_train_aligned_beta0.10,61.26209785540899,23.583826463628352,30,0.12868225574493408
1,nlc_emrc_train_aligned_beta0.20,61.20895192027092,23.748038593599063,30,0.0755363206068651
1,nlc_emrc_train_aligned_beta0.30,61.16421659787496,23.862080660499437,30,0.030800998210906982
1,nlc_original_train_aligned_beta0.00,61.133415599664055,23.749313240509903,30,0.0
1,rn101_only,52.190995663404465,22.525700797889883,30,-8.94241993625959
1,rn50_only,47.801351845264435,22.396227353514277,30,-13.33206375439962
1,vit_b16_only,58.86600116888682,23.97944047095053,30,-2.2674144307772366
1,vit_b32_only,53.6522501707077,24.703619003069146,30,-7.481165428956352
2,emrc_raw_logit_route_beta1.00,60.96763948599497,24.256090240011954,30,-0.061336408058807024
2,log_avg,60.124676575263344,24.44451644094352,30,-0.9042993187904358
2,nlc_emrc_train_aligned_beta0.02,61.054468055566154,24.224953521084526,30,0.025492161512374878
2,nlc_emrc_train_aligned_beta0.05,61.16733968257904,24.033922339322764,30,0.1383637885252611
2,nlc_emrc_train_aligned_beta0.10,61.294088413318,23.77261011155743,30,0.2651125192642212
2,nlc_emrc_train_aligned_beta0.20,61.46042585372925,23.42603490403048,30,0.4314499596754686
2,nlc_emrc_train_aligned_beta0.30,61.61077265938123,23.352435335172874,30,0.5817967653274536
2,nlc_original_train_aligned_beta0.00,61.02897589405378,24.324773680167993,30,0.0
2,rn101_only,52.220839112997055,22.57099571328373,30,-8.808136781056724
2,rn50_only,47.819091429313026,22.482553357024827,30,-13.209884464740753
2,vit_b16_only,58.91636009017626,23.983991733574697,30,-2.1126158038775174
2,vit_b32_only,53.67850884795189,24.701767357166492,30,-7.35046704610189
4,emrc_raw_logit_route_beta1.00,61.021857261657715,24.300099254365094,30,-0.42419910430908203
4,log_avg,60.21214927236239,24.484869528355603,30,-1.233907093604408
4,nlc_emrc_train_aligned_beta0.02,61.44906237721443,24.204422144133204,30,0.0030060112476348877
4,nlc_emrc_train_aligned_beta0.05,61.51355569561323,24.095468453576505,30,0.0674993296464308
4,nlc_emrc_train_aligned_beta0.10,61.64249127109846,23.853981626820012,30,0.1964349051316603
4,nlc_emrc_train_aligned_beta0.20,61.81290705998739,23.469368235088105,30,0.36685069402059156
4,nlc_emrc_train_aligned_beta0.30,61.92821651697159,23.321597177255686,30,0.48216015100479126
4,nlc_original_train_aligned_beta0.00,61.4460563659668,24.222061377812253,30,0.0
4,rn101_only,52.28167494138082,22.635453608802383,30,-9.164381424585976
4,rn50_only,47.90919413169225,22.55139577817203,30,-13.536862234274544
4,vit_b16_only,58.969417959451675,24.006265647571826,30,-2.4766384065151215
4,vit_b32_only,53.71443649133047,24.7562149715719,30,-7.73161987463633
8,emrc_raw_logit_route_beta1.00,61.05819150805473,24.50680206063673,30,-0.5385102828343733
8,log_avg,60.27962068716685,24.71440173945882,30,-1.3170811037222592
8,nlc_emrc_train_aligned_beta0.02,61.61061331629753,24.275098193051747,30,0.013911525408424552
8,nlc_emrc_train_aligned_beta0.05,61.65059030056,24.1401500623468,30,0.05388850967089098
8,nlc_emrc_train_aligned_beta0.10,61.76386460661888,23.939620435127715,30,0.16716281572977465
8,nlc_emrc_train_aligned_beta0.20,61.90036083261172,23.70513389540332,30,0.3036590417226108
8,nlc_emrc_train_aligned_beta0.30,62.06650296847025,23.57053312518848,30,0.4698011775811466
8,nlc_original_train_aligned_beta0.00,61.59670179088911,24.331560802393774,30,0.0
8,rn101_only,52.43756612141927,22.921625695568707,30,-9.159135669469833
8,rn50_only,47.96638039251169,22.815125524019216,30,-13.630321398377419
8,vit_b16_only,59.03039818008741,24.15846836709026,30,-2.5663036108016968
8,vit_b32_only,53.85498960812887,24.990108288381933,30,-7.741712182760239
